 PAYOFF TABLE
      -18.12        4.53
      107.83      -76.27

 Grid points
    4.53 : 0.82 : -76.27

Efficient solutions
0.0000 4.5308 0.0000
0.0000 4.5308 0.0240
0.0000 4.5308 0.0480
0.0000 4.5308 0.0720
0.0000 4.5308 0.0960
0.0000 4.5308 0.1200
0.0000 4.5308 0.1440
0.0000 4.5308 0.1680
0.0000 4.5308 0.1920
0.0000 4.5308 0.2160
0.0000 4.5308 0.2401
0.0000 4.5308 0.2641
0.0000 4.5308 0.2881
0.0000 4.5308 0.3121
0.0000 4.5308 0.3361
0.0000 4.5308 0.3601
0.0000 4.5308 0.3841
0.0000 4.5308 0.4081
0.0000 4.5308 0.4321
0.0000 4.5308 0.4561
0.0000 4.5308 0.4801
0.0000 4.5308 0.5041
0.0000 4.5308 0.5281
0.0000 4.5308 0.5521
0.0000 4.5308 0.5761
0.0000 4.5308 0.6001
0.0000 4.5308 0.6241
0.0000 4.5308 0.6481
0.0000 4.5308 0.6722
0.0000 4.5308 0.6962
0.0000 4.5308 0.7202
0.0000 4.5308 0.7442
0.0000 4.5308 0.7682
0.0000 4.5308 0.7922
0.0000 4.5308 0.8162
0.0000 4.5308 0.8402
0.0000 4.5308 0.8642
0.0000 4.5308 0.8882
0.0000 4.5308 0.9122
0.0000 4.5308 0.9362
0.0000 4.5308 0.9602
0.0000 4.5308 0.9842
0.0000 4.5308 1.0082
0.0000 4.5308 1.0322
0.0000 4.5308 1.0562
0.0000 4.5308 1.0802
0.0000 4.5308 1.1042
0.0000 4.5308 1.1283
0.0000 4.5308 1.1523
0.0000 4.5308 1.1763
0.0000 4.5308 1.2003
0.0000 4.5308 1.2243
0.0000 4.5308 1.2483
0.0000 4.5308 1.2723
0.0000 4.5308 1.2963
0.0000 4.5308 1.3203
0.0000 4.5308 1.3443
0.0000 4.5308 1.3683
0.0000 4.5308 1.3923
0.0000 4.5308 1.4163
0.0000 4.5308 1.4403
0.0000 4.5308 1.4643
0.0000 4.5308 1.4883
0.0000 4.5308 1.5123
0.0000 4.5308 1.5363
0.0000 4.5308 1.5604
0.0000 4.5308 1.5844
0.0000 4.5308 1.6084
0.0000 4.5308 1.6324
0.0000 4.5308 1.6564
0.0000 4.5308 1.6804
0.0000 4.5308 1.7044
0.0000 4.5308 1.7284
0.0000 4.5308 1.7524
0.0000 4.5308 1.7764
0.0000 4.5308 1.8004
0.0000 4.5308 1.8244
0.0000 4.5308 1.8484
0.0000 4.5308 1.8724
0.0000 4.5308 1.8964
0.0000 4.5308 1.9204
0.0000 4.5308 1.9444
0.0000 4.5308 1.9684
0.0000 4.5308 1.9925
0.0000 4.5308 2.0165
0.0000 4.5308 2.0405
0.0000 4.5308 2.0645
0.0000 4.5308 2.0885
0.0000 4.5308 2.1125
0.0000 4.5308 2.1365
0.0000 4.5308 2.1605
0.0000 4.5308 2.1845
0.0000 4.5308 2.2085
0.0000 4.5308 2.2325
0.0000 4.5308 2.2565
0.0000 4.5308 2.2805
0.0000 4.5308 2.3045
0.0000 4.5308 2.3285
0.0000 4.5308 2.3525
0.0000 4.5308 2.3765

Infeasibilities =     0
Elapsed time:       2.16 seconds
